timestamp_offset_min,cpu_pct,memory_pct,latency_ms,error_rate
0,30.6,36.5,74.5,0.2
15,29.7,34.0,84.9,0.46
30,33.8,32.4,72.8,0.31
45,27.2,34.2,85.1,0.22
60,30.7,31.4,90.5,0.17
75,26.7,35.0,81.9,0.04
90,27.8,29.3,85.9,0.26
105,27.1,30.2,97.7,0.41
120,32.9,33.3,92.2,0.36
135,32.3,30.1,96.6,0.28
150,33.5,29.5,74.4,0.32
165,34.2,31.4,77.2,0.15
180,31.9,32.1,76.2,0.16
195,27.6,34.8,92.4,0.17
210,35.7,32.6,72.4,0.05
225,30.4,31.7,85.2,0.05
240,35.9,33.7,80.2,0.37
255,33.8,33.2,75.9,0.36
270,30.2,31.8,83.0,0.27
285,34.7,32.3,76.2,0.43
300,27.5,33.9,95.2,0.49
315,27.0,36.5,78.1,0.42
330,32.2,35.0,71.9,0.12
345,30.6,28.9,98.6,0.06
360,35.2,35.2,86.3,0.16
375,30.6,31.8,80.5,0.17
390,35.2,35.9,71.4,0.08
405,33.8,33.3,85.8,0.36
420,29.6,35.6,89.2,0.38
435,29.9,36.6,95.8,0.17
450,27.5,31.0,70.3,0.0
465,34.4,36.1,76.3,0.17
480,33.5,32.9,91.3,0.34
495,30.1,33.1,97.8,0.24
510,33.2,32.3,90.5,0.24
525,28.6,29.0,96.1,0.31
540,26.4,34.7,88.9,0.5
555,28.9,32.4,96.7,0.19
570,27.7,32.0,99.2,0.5
585,30.0,32.2,79.1,0.02
600,34.5,30.4,95.0,0.3
615,35.2,36.1,77.2,0.45
630,27.3,30.2,87.8,0.02
645,31.5,30.1,81.4,0.35
660,35.8,32.5,83.8,0.2
675,34.9,34.3,94.1,0.49
690,33.1,29.2,77.9,0.13
705,33.4,34.9,73.9,0.45
720,31.5,35.6,91.9,0.31
735,31.5,36.0,77.5,0.49
750,35.9,34.1,70.7,0.01
765,35.9,31.8,82.6,0.48
780,30.5,31.5,70.5,0.44
795,33.8,31.9,75.6,0.49
810,34.9,34.0,76.5,0.34
825,30.3,35.0,75.4,0.08
840,26.1,33.1,95.8,0.12
855,29.2,31.7,98.6,0.08
870,31.7,30.6,91.4,0.14
885,35.9,31.4,97.0,0.05
900,29.3,34.9,88.6,0.16
915,34.3,32.2,89.3,0.06
930,32.7,29.6,82.6,0.04
945,35.2,35.1,80.5,0.25
960,30.5,36.1,78.3,0.37
975,34.5,32.2,90.0,0.43
990,33.5,29.5,71.2,0.22
1005,35.8,33.8,93.0,0.32
1020,26.3,32.9,91.6,0.11
1035,35.8,31.3,90.5,0.46
1050,28.2,32.4,85.6,0.31
1065,35.2,32.3,71.4,0.25
1080,31.8,29.0,71.9,0.17
1095,27.5,35.3,81.7,0.25
1110,33.6,34.0,87.4,0.38
1125,29.2,28.9,92.8,0.19
1140,32.7,32.4,86.3,0.49
1155,32.1,30.4,88.3,0.45
1170,34.9,32.9,78.4,0.05
1185,28.4,29.4,74.9,0.3
1200,31.7,35.9,79.9,0.4
1215,27.5,32.7,76.5,0.39
1230,30.3,31.3,77.9,0.12
1245,33.5,32.9,81.1,0.37
1260,26.0,30.0,91.7,0.47
1275,31.1,34.4,72.0,0.18
1290,29.2,33.1,87.2,0.2
1305,34.0,31.5,97.4,0.29
1320,30.7,36.5,70.7,0.27
1335,28.9,30.4,80.4,0.08
1350,30.2,29.3,98.4,0.46
1365,32.8,29.4,96.7,0.03
1380,31.6,34.7,93.7,0.28
1395,30.9,32.1,74.8,0.43
1410,31.8,30.3,80.6,0.5
1425,30.3,36.3,82.4,0.09
1440,33.3,36.5,70.1,0.03
1455,31.4,28.9,69.9,0.5
1470,33.1,29.3,79.8,0.41
1485,35.2,34.1,90.8,0.45
