ci_id,patch_name,current_version,available_version,cve_ref,severity,released_at
CI-0001,web-server-security-update,1.10.6,1.10.8,CVE-2026-28512,medium,2026-07-29T09:17:37
CI-0002,storage-volume-security-update,2.2.9,2.2.11,CVE-2026-73422,medium,2026-07-31T21:04:51
CI-0003,web-server-security-update,2.20.8,2.20.12,CVE-2026-78931,medium,2026-07-21T08:02:31
CI-0004,message-queue-security-update,7.3.1,7.3.4,CVE-2026-38976,critical,2026-07-28T09:07:25
CI-0005,network-switch-security-update,6.14.1,6.14.4,CVE-2026-12984,low,2026-08-02T08:21:53
CI-0006,load-balancer-security-update,4.5.5,4.5.6,CVE-2026-47100,high,2026-08-04T23:46:56
CI-0007,web-server-security-update,7.17.0,7.17.2,CVE-2026-86980,critical,2026-07-29T04:14:49
CI-0008,app-server-security-update,7.13.4,7.13.7,CVE-2026-29832,critical,2026-07-18T11:26:52
CI-0009,db-server-security-update,8.11.9,8.11.11,CVE-2026-54901,low,2026-07-11T12:59:15
CI-0010,api-gateway-security-update,2.1.3,2.1.4,CVE-2026-26064,high,2026-07-30T13:03:31
CI-0011,db-server-security-update,2.6.4,2.6.7,CVE-2026-38134,high,2026-07-23T18:39:31
CI-0012,storage-volume-security-update,3.14.3,3.14.5,CVE-2026-65643,medium,2026-08-03T19:56:07
CI-0013,db-server-security-update,9.18.0,9.18.3,CVE-2026-45435,high,2026-07-28T11:26:37
CI-0014,storage-volume-security-update,4.16.9,4.16.10,CVE-2026-12495,critical,2026-07-28T09:22:30
CI-0015,load-balancer-security-update,2.3.0,2.3.4,CVE-2026-85976,critical,2026-08-01T00:36:59
CI-0016,network-switch-security-update,5.17.8,5.17.11,CVE-2026-44946,critical,2026-07-16T16:29:13
CI-0017,network-switch-security-update,8.11.3,8.11.7,CVE-2026-35940,high,2026-07-11T00:47:20
CI-0018,message-queue-security-update,7.4.9,7.4.13,CVE-2026-66321,medium,2026-07-17T21:57:41
CI-0019,cache-security-update,3.11.6,3.11.8,CVE-2026-76471,critical,2026-07-16T13:46:31
CI-0020,db-server-security-update,7.0.1,7.0.2,CVE-2026-46699,low,2026-07-20T22:41:54
CI-0021,cache-security-update,8.12.6,8.12.8,CVE-2026-77017,high,2026-07-15T01:05:41
CI-0022,app-server-security-update,8.8.8,8.8.9,CVE-2026-58720,critical,2026-07-18T07:08:26
CI-0023,message-queue-security-update,4.0.6,4.0.7,CVE-2026-47191,low,2026-08-04T15:08:23
CI-0024,app-server-security-update,7.19.0,7.19.3,CVE-2026-45762,critical,2026-07-17T17:29:25
CI-0025,web-server-security-update,9.2.8,9.2.9,CVE-2026-48600,low,2026-07-19T02:42:18
CI-0026,network-switch-security-update,9.17.8,9.17.11,CVE-2026-95709,medium,2026-07-31T17:05:51
CI-0027,db-server-security-update,8.12.6,8.12.9,CVE-2026-16426,medium,2026-08-01T18:35:39
CI-0028,app-server-security-update,3.3.5,3.3.6,CVE-2026-77102,critical,2026-07-12T07:55:30
CI-0029,load-balancer-security-update,5.14.4,5.14.5,CVE-2026-72224,medium,2026-07-28T18:15:26
CI-0030,load-balancer-security-update,6.15.0,6.15.3,CVE-2026-89626,critical,2026-07-31T21:19:02
CI-0031,message-queue-security-update,3.10.4,3.10.5,CVE-2026-71258,critical,2026-07-23T08:27:02
CI-0032,db-server-security-update,5.13.3,5.13.6,CVE-2026-19279,high,2026-07-10T13:59:34
CI-0033,network-switch-security-update,4.5.2,4.5.5,CVE-2026-96268,low,2026-08-06T01:15:20
CI-0034,storage-volume-security-update,9.10.0,9.10.1,CVE-2026-28900,critical,2026-07-28T18:39:25
CI-0035,cache-security-update,9.1.6,9.1.7,CVE-2026-51584,low,2026-08-01T07:04:29
CI-0036,network-switch-security-update,5.18.0,5.18.1,CVE-2026-90418,medium,2026-07-23T21:27:36
CI-0037,cache-security-update,4.16.6,4.16.7,CVE-2026-69735,high,2026-07-11T19:15:14
